,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
0,1,[0.025],37.4597181258439,37.4597181258439,,,
1,1,[0.3660325],14.794433881516404,32.503221898182446,,,
2,1,[0.0675],29.001426151095316,29.001426151095316,,,
3,1,[0.0678],28.9587231413954,14.7812564823761,,,
4,-,-,-,-,31.980772329129266,37.4597181258439,[0.025]
5,2,[0.0443625],32.63831966784152,37.4597181258439,,,
6,2,[0.045],32.503221898182446,32.503221898182446,,,
7,2,[0.0675],29.001426151095316,29.001426151095316,,,
8,2,[0.0678],28.9587231413954,28.9587231413954,,,
9,-,-,-,-,31.980772329129266,37.4597181258439,[0.025]
10,3,[0.06715800000000001],29.046598968044307,37.4597181258439,,,
11,3,[0.025337500000000002],37.35629392747447,32.503221898182446,,,
12,3,[0.0675],29.001426151095316,29.001426151095316,,,
13,3,[0.0249955],37.4618138155435,28.9587231413954,,,
14,-,-,-,-,35.31981300498929,37.4618138155435,[0.0249955]
