,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
0,1,[0.0443625],32.63831966784152,37.4597181258439,,,
1,1,[0.06720000000000001],29.040010949875082,32.503221898182446,,,
2,1,[0.07412550000000001],28.185306238763296,29.001426151095316,,,
3,1,[0.4667],12.966522869346795,12.966522869346795,,,
4,-,-,-,-,27.982722261117114,37.4597181258439,[0.025]
5,2,[0.4664],12.971712990196503,37.4597181258439,,,
6,2,[0.07412550000000001],28.185306238763296,32.503221898182446,,,
7,2,[0.0675],29.001426151095316,29.001426151095316,,,
8,2,[0.4660625],12.976469635143674,12.966522869346795,,,
9,-,-,-,-,27.985208952566335,37.4597181258439,[0.025]
10,3,[0.0741159375],28.187075821592234,37.4597181258439,,,
11,3,[0.0738159375],28.22483831556521,32.503221898182446,,,
12,3,[0.0675],29.001426151095316,29.001426151095316,,,
13,3,[0.025337500000000002],37.35629392747447,12.976469635143674,,,
14,-,-,-,-,34.08016502564904,37.4597181258439,[0.025]
15,4,[0.025],37.4597181258439,37.4597181258439,,,
16,4,[0.025337500000000002],37.35629392747447,32.503221898182446,,,
17,4,[0.0675],29.001426151095316,29.001426151095316,,,
18,4,[0.0256324375],37.27252467046134,37.35629392747447,,,
19,-,-,-,-,35.29343303297203,37.4597181258439,[0.025]
20,5,[0.024700000000000003],37.56780132328642,37.4597181258439,,,
21,5,[0.024695500000000002],37.56976347306994,37.35629392747447,,,
22,5,[0.025337500000000002],37.35629392747447,29.001426151095316,,,
23,5,[0.024695500000000002],37.56976347306994,37.35629392747447,,,
24,-,-,-,-,37.515905549225195,37.56976347306994,[0.024695500000000002]
25,6,[0.025337500000000002],37.35629392747447,37.56780132328642,,,
26,6,[0.024695500000000002],37.56976347306994,37.56976347306994,,,
27,6,[0.025337500000000002],37.35629392747447,37.35629392747447,,,
28,6,[0.024685870000000002],37.573299909599996,37.56976347306994,,,
29,-,-,-,-,37.51678965835771,37.573299909599996,[0.024685870000000002]
30,7,[0.024700000000000003],37.56780132328642,37.56780132328642,,,
31,7,[0.024695432500000003],37.56976347306994,37.56976347306994,,,
32,7,[0.0253375675],37.35629392747447,37.35629392747447,,,
33,7,[0.025337432500000003],37.35629392747447,37.573299909599996,,,
34,-,-,-,-,37.51678965835771,37.573299909599996,[0.024685870000000002]
35,8,[0.024700000000000003],37.56780132328642,37.56780132328642,,,
36,8,[0.024676240000000002],37.57529370138662,37.56976347306994,,,
37,8,[0.025337500000000002],37.35629392747447,37.35629392747447,,,
38,8,[0.024685870000000002],37.573299909599996,37.573299909599996,,,
39,-,-,-,-,37.51817221543688,37.57529370138662,[0.024676240000000002]
40,9,[0.0246862264],37.573299909599996,37.56780132328642,,,
41,9,[0.025337644450000002],37.35629392747447,37.57529370138662,,,
42,9,[0.02469600085],37.56976347306994,37.35629392747447,,,
43,9,[0.024696150646],37.56976347306994,37.573299909599996,,,
44,-,-,-,-,37.572914248414136,37.57529370138662,[0.024676240000000002]
45,10,[0.02467609338325],37.57529370138662,37.573299909599996,,,
46,10,[0.024676538612001253],37.57529370138662,37.57529370138662,,,
47,10,[0.02469600085],37.56976347306994,37.56976347306994,,,
48,10,[0.024685870000000002],37.573299909599996,37.573299909599996,,,
49,-,-,-,-,37.57341269636079,37.57529370138662,[0.02467609338325]
50,11,[0.02467609338325],37.57529370138662,37.57529370138662,,,
51,11,[0.024676538612001253],37.57529370138662,37.57529370138662,,,
52,11,[0.024685872199251252],37.573299909599996,37.56976347306994,,,
53,11,[0.02467623783325],37.57529370138662,37.573299909599996,,,
54,-,-,-,-,37.574795253439966,37.57529370138662,[0.02467609338325]
55,12,[0.024676382316238768],37.57529370138662,37.57529370138662,,,
56,12,[0.024676242166750004],37.57529370138662,37.57529370138662,,,
57,12,[0.024685872199251252],37.573299909599996,37.573299909599996,,,
58,12,[0.024676093415751253],37.57529370138662,37.57529370138662,,,
59,-,-,-,-,37.574795253439966,37.57529370138662,[0.02467609338325]
60,13,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
61,13,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
62,13,[0.02467623563399875],37.57529370138662,37.573299909599996,,,
63,13,[0.024676239967011234],37.57529370138662,37.57529370138662,,,
64,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
65,14,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
66,14,[0.02467623569948877],37.57529370138662,37.57529370138662,,,
67,14,[0.02467624003250125],37.57529370138662,37.57529370138662,,,
68,14,[0.02467623783325],37.57529370138662,37.57529370138662,,,
69,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
70,15,[0.0246762334347475],37.57529370138662,37.57529370138662,,,
71,15,[0.02467624003250125],37.57529370138662,37.57529370138662,,,
72,15,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
73,15,[0.024676242133761232],37.57529370138662,37.57529370138662,,,
74,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
75,16,[0.02467623783325],37.57529370138662,37.57529370138662,,,
76,16,[0.02467623783325],37.57529370138662,37.57529370138662,,,
77,16,[0.02467624003298877],37.57529370138662,37.57529370138662,,,
78,16,[0.024676093350261233],37.57529370138662,37.57529370138662,,,
79,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
80,17,[0.024676235666500002],37.57529370138662,37.57529370138662,,,
81,17,[0.024676240000000002],37.57529370138662,37.57529370138662,,,
82,17,[0.02467623563399875],37.57529370138662,37.57529370138662,,,
83,17,[0.02467623346724875],37.57529370138662,37.57529370138662,,,
84,-,-,-,-,37.57529370138662,37.57529370138662,[0.02467609338325]
85,18,[0.0246762356014975],37.57529370138662,37.57529370138662,,,
86,18,[0.02467624003250125],37.57529370138662,37.57529370138662,,,
