,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
0,1,[0.0246625],37.580906882959624,37.4597181258439,,,
1,1,[0.045],32.503221898182446,32.503221898182446,,,
2,1,[0.0675],29.001426151095316,29.001426151095316,,,
3,1,[0.4667],12.966522869346795,12.966522869346795,,,
4,-,-,-,-,28.013019450396044,37.580906882959624,[0.0246625]
5,2,[0.0246625],37.580906882959624,37.580906882959624,,,
6,2,[0.4663625],12.972223455147041,32.503221898182446,,,
7,2,[0.06719493750000001],29.041037638951146,29.001426151095316,,,
8,2,[0.0443620134375],32.63831966784152,12.966522869346795,,,
9,-,-,-,-,32.94087152198369,37.580906882959624,[0.0246625]
10,3,[0.0246625],37.580906882959624,37.580906882959624,,,
11,3,[0.043724026875],32.767756315367286,32.503221898182446,,,
12,3,[0.06718536770156251],29.042405845440346,29.041037638951146,,,
13,3,[0.0443620134375],32.63831966784152,32.63831966784152,,,
14,-,-,-,-,33.00734717790219,37.580906882959624,[0.0246625]
15,4,[0.02432014968603906],37.721852724741225,37.580906882959624,,,
16,4,[0.04371903516726715],32.76828641664372,32.767756315367286,,,
17,4,[0.06718536770156251],29.042405845440346,29.042405845440346,,,
18,4,[0.04406138548122809],32.70154052950873,32.63831966784152,,,
19,-,-,-,-,33.0585213790835,37.721852724741225,[0.02432014968603906]
20,5,[0.04377040219900966],32.76129524673879,37.721852724741225,,,
21,5,[0.02431501443132965],37.723849536487805,32.76828641664372,,,
22,5,[0.06718536770156251],29.042405845440346,29.042405845440346,,,
23,5,[0.02401889589440181],37.843732302329286,32.70154052950873,,,
24,-,-,-,-,35.582960102249665,37.843732302329286,[0.02401889589440181]
25,6,[0.024661874164634664],37.580906882959624,37.721852724741225,,,
26,6,[0.02367265260893165],37.994844828048926,37.723849536487805,,,
27,6,[0.06718017405228045],29.04339303624723,29.042405845440346,,,
28,6,[0.02401889589440181],37.843732302329286,37.843732302329286,,,
29,-,-,-,-,35.65095572284167,37.994844828048926,[0.02367265260893165]
30,7,[0.024028608350558422],37.84211983853347,37.721852724741225,,,
31,7,[0.02402341470127637],37.84211983853347,37.994844828048926,,,
32,7,[0.0246760275229266],37.575754385796294,29.04339303624723,,,
33,7,[0.0240135577268485],37.84543844462034,37.843732302329286,,,
34,-,-,-,-,37.81453937424976,37.994844828048926,[0.02367265260893165]
35,8,[0.023672878368287298],37.994844828048926,37.84211983853347,,,
36,8,[0.024670917332548184],37.5788375638062,37.994844828048926,,,
