,Generation,v_trial,score_trial,score_target,gen_avg,gen_best,gen_sol
0,1,[0.4663625],12.972223455147041,37.4597181258439,,,
1,1,[0.0313255],35.57848078669537,32.503221898182446,,,
2,1,[0.030988],35.65933216839182,29.001426151095316,,,
3,1,[0.0247],37.56780132328642,12.966522869346795,,,
4,-,-,-,-,36.56633310105438,37.56780132328642,[0.0247]
5,2,[0.0308931175],35.69594854563325,37.4597181258439,,,
6,2,[0.0313255],35.57848078669537,35.57848078669537,,,
7,2,[0.03123118],35.59846418506938,35.65933216839182,,,
8,2,[0.0308931175],35.69594854563325,37.56780132328642,,,
9,-,-,-,-,36.56633310105438,37.56780132328642,[0.0247]
10,3,[0.03133],35.57753464122689,37.4597181258439,,,
11,3,[0.03133],35.57753464122689,35.57848078669537,,,
12,3,[0.030988],35.65933216839182,35.65933216839182,,,
13,3,[0.0247],37.56780132328642,37.56780132328642,,,
14,-,-,-,-,36.56633310105438,37.56780132328642,[0.0247]
15,4,[0.0249949375],37.4618138155435,37.4597181258439,,,
16,4,[0.0247949584375],37.52797326223259,35.57848078669537,,,
17,4,[0.030988],35.65933216839182,35.65933216839182,,,
18,4,[0.0247],37.56780132328642,37.56780132328642,,,
19,-,-,-,-,37.05423014236358,37.56780132328642,[0.0247]
20,5,[0.0249949375],37.4618138155435,37.4618138155435,,,
21,5,[0.0247029996859375],37.56647140836394,37.52797326223259,,,
22,5,[0.03099237906721094],35.658253864508204,35.65933216839182,,,
23,5,[0.0309835759375],35.663372092914955,37.56780132328642,,,
24,-,-,-,-,37.06385467889642,37.56780132328642,[0.0247]
25,6,[0.024605724995289062],37.60198009601294,37.4618138155435,,,
26,6,[0.024604265874929334],37.602833840100814,37.56647140836394,,,
27,6,[0.030988],35.65933216839182,35.65933216839182,,,
28,6,[0.03098943601187606],35.65868702919944,37.56780132328642,,,
29,-,-,-,-,37.107986856948,37.602833840100814,[0.024604265874929334]
